time,flow-1-q,flow-1-v,flow-1-t
0:00:00,100,300,1000
0:00:01,117,352,1173
0:00:02,134,402,1341
0:00:03,149,449,1499
0:00:04,164,492,1642
0:00:05,176,529,1765
0:00:06,186,559,1865
0:00:07,193,581,1939
0:00:08,198,595,1984
0:00:09,199,599,1999
0:00:10,198,595,1984
0:00:11,193,581,1939
0:00:12,186,559,1866
0:00:13,176,529,1766
0:00:14,164,492,1643
0:00:15,150,450,1500
0:00:16,134,402,1342
0:00:17,117,352,1174
0:00:18,100,300,1000
0:00:19,82,248,826
0:00:20,65,197,658
0:00:21,50,150,500
0:00:22,35,107,357
0:00:23,23,70,234
0:00:24,13,40,134
0:00:25,6,18,60
0:00:26,1,4,15
0:00:27,0,0,0
0:00:28,1,4,15
0:00:29,6,18,60
0:00:30,13,40,133
0:00:31,23,70,233
0:00:32,35,106,356
0:00:33,49,149,499
0:00:34,65,197,657
0:00:35,82,247,825
0:00:36,100,300,1000
0:00:37,117,352,1173
0:00:38,134,402,1341
0:00:39,149,449,1499
0:00:40,164,492,1642
0:00:41,176,529,1765
0:00:42,186,559,1865
0:00:43,193,581,1939
0:00:44,198,595,1984
0:00:45,199,599,1999
0:00:46,198,595,1984
0:00:47,193,581,1939
0:00:48,186,559,1866
0:00:49,176,529,1766
0:00:50,164,492,1643
0:00:51,150,450,1500
0:00:52,134,402,1342
0:00:53,117,352,1174
0:00:54,100,300,1000
0:00:55,82,248,826
0:00:56,65,197,658
0:00:57,50,150,500
0:00:58,35,107,357
0:00:59,23,70,234
0:01:00,13,40,134
0:01:01,6,18,60
0:01:02,1,4,15
0:01:03,0.00E+00,0.00E+00,0
0:01:04,1,4,15
0:01:05,6,18,60
0:01:06,13,40,133
0:01:07,23,70,233
0:01:08,35,106,356
0:01:09,49,149,499
0:01:10,65,197,657
0:01:11,82,247,825
0:01:12,100,300,1000
0:01:13,117,352,1173
0:01:14,134,402,1341
0:01:15,149,449,1499
0:01:16,164,492,1642
0:01:17,176,529,1765
0:01:18,186,559,1865
0:01:19,193,581,1939
0:01:20,198,595,1984
0:01:21,199,599,1999
0:01:22,198,595,1984
0:01:23,193,581,1939
0:01:24,186,559,1866
0:01:25,176,529,1766
0:01:26,164,492,1643
0:01:27,150,450,1500
0:01:28,134,402,1342
0:01:29,117,352,1174
0:01:30,100,300,1000
0:01:31,82,248,826
0:01:32,65,197,658
0:01:33,50,150,500
0:01:34,35,107,357
0:01:35,23,70,234
0:01:36,13,40,134
0:01:37,6,18,60
0:01:38,1,4,15
0:01:39,0.00E+00,0.00E+00,0
0:01:40,1,4,15
0:01:41,6,18,60
0:01:42,13,40,133
0:01:43,23,70,233
0:01:44,35,106,356
0:01:45,49,149,499
0:01:46,65,197,657
0:01:47,82,247,825
0:01:48,100,300,1000
0:01:49,117,352,1173
0:01:50,134,402,1341
0:01:51,149,449,1499
0:01:52,164,492,1642
0:01:53,176,529,1765
0:01:54,186,559,1865
0:01:55,193,581,1939
0:01:56,198,595,1984
0:01:57,199,599,1999
0:01:58,198,595,1984
0:01:59,193,581,1939
0:02:00,186,559,1866
0:02:01,176,529,1766
0:02:02,164,492,1643
0:02:03,150,450,1500
0:02:04,134,402,1342
0:02:05,117,352,1174
0:02:06,100,300,1000
0:02:07,82,248,826
0:02:08,65,197,658
0:02:09,50,150,500
0:02:10,35,107,357
0:02:11,23,70,234
0:02:12,13,40,134
0:02:13,6,18,60
0:02:14,1,4,15
0:02:15,0.00E+00,0.00E+00,0
0:02:16,1,4,15
0:02:17,6,18,60
0:02:18,13,40,133
0:02:19,23,70,233
0:02:20,35,106,356
0:02:21,49,149,499
0:02:22,65,197,657
0:02:23,82,247,825
0:02:24,100,300,1000
0:02:25,117,352,1173
0:02:26,134,402,1341
0:02:27,149,449,1499
0:02:28,164,492,1642
0:02:29,176,529,1765
0:02:30,186,559,1865
0:02:31,193,581,1939
0:02:32,198,595,1984
0:02:33,199,599,1999
0:02:34,198,595,1984
0:02:35,193,581,1939
0:02:36,186,559,1866
0:02:37,176,529,1766
0:02:38,164,492,1643
0:02:39,150,450,1500
0:02:40,134,402,1342
0:02:41,117,352,1174
0:02:42,100,300,1000
0:02:43,82,248,826
0:02:44,65,197,658
0:02:45,50,150,500
0:02:46,35,107,357
0:02:47,23,70,234
0:02:48,13,40,134
0:02:49,6,18,60
0:02:50,1,4,15
0:02:51,0.00E+00,0.00E+00,0
0:02:52,1,4,15
0:02:53,6,18,60
0:02:54,13,40,133
0:02:55,23,70,233
0:02:56,35,106,356
0:02:57,49,149,499
0:02:58,65,197,657
